NUTS2	t	0	1	2	3	4	
FR42	54	0.0260162602	0.3723577236	0.5772357724	0.0097560976	0.0146341463
FR51	54	0.0212121212	0.0348484848	0.9287878788	0.0007575758	0.0143939394
FR52	54	0.0249554367	0.0285204991	0.9376114082	0	0.008912656
FR53	54	0.0192307692	0.0929487179	0.8717948718	0.0032051282	0.0128205128
FR61	54	0.0125	0.0375	0.9375	0.003125	0.009375
FR62	54	0.0355555556	0.0666666667	0.8859259259	0.0014814815	0.0103703704
FR71	54	0.0247026532	0.0896614822	0.8490393413	0.0064043916	0.0301921317
FR72	54	0.0099403579	0.0377733598	0.9383697813	0.0019880716	0.0119284294
FR81	54	0.0302648172	0.05296343	0.9016393443	0	0.0151324086
FR82	54	0.0176282051	0.0769230769	0.8846153846	0.0064102564	0.0144230769
FR10	61	0.0509936258	0.0959880015	0.8301462317	0.0097487814	0.0131233596
FR21	61	0.015060241	0.0813253012	0.8644578313	0.0240963855	0.015060241
FR24	61	0.0180831826	0.061482821	0.904159132	0.0036166365	0.0126582278
FR26	61	0.0663900415	0.112033195	0.7634854772	0.0124481328	0.0456431535
FR30	61	0.1648668107	0.0547156228	0.7458603312	0.0100791937	0.0244780418
FR42	61	0.0289855072	0.309178744	0.6231884058	0.0193236715	0.0193236715
FR51	61	0.0316780822	0.0539383562	0.9006849315	0.0008561644	0.0128424658
FR52	61	0.027173913	0.058423913	0.8953804348	0.0013586957	0.0176630435
FR53	61	0.04595186	0.0350109409	0.9124726477	0	0.0065645514
FR61	61	0.017699115	0.0432645034	0.9252704031	0.0068829892	0.0068829892
FR62	61	0.0212765957	0.0521276596	0.9063829787	0.0085106383	0.0117021277
FR71	61	0.0337349398	0.0409638554	0.9148594378	0.0008032129	0.0096385542
FR72	61	0.0408163265	0.0476190476	0.8707482993	0	0.0408163265
FR81	61	0.0334572491	0.063197026	0.8884758364	0.0037174721	0.0111524164
FR82	61	0.0252365931	0.0483701367	0.9095688749	0.0021030494	0.014721346
FR10	82	0.0531504501	0.1221603086	0.797256751	0.0115730819	0.0158594085
FR21	82	0.0823529412	0.1294117647	0.7558823529	0.0176470588	0.0147058824
FR24	82	0.0436363636	0.0715151515	0.8666666667	0.0096969697	0.0084848485
FR26	82	0.0107526882	0.0731182796	0.8989247312	0.0129032258	0.0043010753
FR30	82	0.1199671323	0.0870994248	0.7551355793	0.0115036976	0.026294166
FR42	82	0.0359281437	0.2215568862	0.7185628743	0.005988024	0.0179640719
FR51	82	0.0201729107	0.0499519693	0.916426513	0.0067243036	0.0067243036
FR52	82	0.046184739	0.06291834	0.8721552878	0.0013386881	0.0174029451
FR53	82	0.0452261307	0.0703517588	0.8743718593	0	0.0100502513
FR61	82	0.0256410256	0.0552268245	0.9013806706	0.0019723866	0.0157790927
FR62	82	0.0477657935	0.0600924499	0.8844375963	0	0.0077041602
FR71	82	0.0565627266	0.1080493111	0.8129079043	0.0094271211	0.0130529369
